1	35	0
2	93	0
2	18	1
2	23	1
2	140	0
2	80	1
2	41	0
2	54	0
2	16	0
2	67	0
2	107	0
2	131	0
2	35	0
2	125	0
2	75	1
2	170	1
2	6	1
2	63	1
2	103	0
3	93	0
3	107	0
3	140	0
3	80	1
3	103	0
4	93	0
4	18	1
4	23	1
4	140	0
4	80	1
4	54	0
4	107	0
4	35	0
4	131	0
4	125	0
4	75	1
4	170	1
4	6	1
4	63	1
4	103	0
6	93	0
6	80	1
5	18	1
5	23	1
5	170	1
7	63	1
8	35	0
9	41	0
9	16	0
9	67	0
9	93	0
9	125	0
9	80	1
11	63	1
10	41	0
10	16	0
10	67	0
10	18	1
10	23	1
10	170	1
14	41	0
14	16	0
14	67	0
15	41	0
15	16	0
15	67	0
16	125	0
17	93	0
17	80	1
18	35	0
19	107	0
19	35	0
19	140	0
19	103	0
20	54	0
20	131	0
20	75	1
20	6	1
22	54	0
22	131	0
22	75	1
22	6	1
23	93	0
23	18	1
23	23	1
23	140	0
23	80	1
23	41	0
23	54	0
23	16	0
23	67	0
23	107	0
23	35	0
23	131	0
23	125	0
23	170	1
23	75	1
23	6	1
23	63	1
23	103	0
24	107	0
24	140	0
24	103	0
25	125	0
25	63	1
26	125	0
27	63	1
28	93	0
28	18	1
28	23	1
28	140	0
28	80	1
28	41	0
28	54	0
28	16	0
28	67	0
28	107	0
28	131	0
28	35	0
28	125	0
28	75	1
28	170	1
28	6	1
28	63	1
28	103	0
29	41	0
29	54	0
29	16	0
29	67	0
29	18	1
29	23	1
29	131	0
29	170	1
29	75	0
29	6	1
29	63	0
30	41	0
30	16	0
30	67	0
30	18	1
30	107	0
30	23	1
30	35	0
30	140	0
30	170	1
30	103	0
30	63	1
31	54	0
31	18	1
31	93	0
31	23	1
31	131	0
31	125	1
31	80	1
31	170	1
31	75	1
31	6	1
32	54	0
32	107	0
32	131	0
32	35	0
32	140	0
32	75	1
32	6	1
32	103	0
33	93	0
33	80	1
34	18	1
34	23	1
34	140	0
34	41	0
34	54	0
34	16	0
34	67	0
34	107	0
34	131	0
34	125	1
34	75	1
34	170	1
34	6	1
34	103	0
