46	1
31	0
40	0
109	0
21	0
27	1
104	0
106	0
79	0
38	0
81	0
30	0
97	0
172	1
69	0
5	0
2	0
111	0
33	1
145	0
168	0
132	1
159	1
62	1
87	0
48	1
160	0
147	0
113	0
101	0
164	1
53	0
118	0
134	0
17	0
1	0
29	1
162	0
112	0
120	0
163	0
116	1
108	0
51	0
157	1
139	0
12	0
70	0
154	0
153	0
141	0
130	1
99	1
10	1
20	1
152	1
176	1
3	0
137	0
43	1
56	1
127	1
133	0
73	1
161	0
91	0
4	0
128	0
37	1
57	0
34	0
123	0
84	0
105	1
59	0
45	0
82	0
28	0
165	0
90	0
78	0
173	0
122	1
68	1
174	1
8	0
169	0
129	1
88	0
25	0
126	0
74	0
76	0
36	1
55	0
9	0
158	0
19	0
77	0
15	0
119	0
148	0
7	0
138	0
42	1
143	0
135	0
175	1
151	0
110	1
83	0
124	0
52	0
71	0
142	0
166	0
49	1
156	0
136	0
85	0
11	0
89	0
177	0
144	0
149	0
115	0
171	0
61	0
13	0
117	0
39	0
64	1
96	0
121	0
50	1
44	1
98	0
155	0
94	0
167	1
92	0
60	0
86	0
26	0
66	0
150	0
100	0
65	0
22	0
14	0
95	0
102	1
58	1
72	0
47	1
32	0
24	1
114	0
146	0
